Sun Oct 23 22:07:45 COT 2022 - Cliente 1 intentando conectarse
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
Sun Oct 23 22:07:45 COT 2022 - Cliente 1 recibio archivo AppCliente\ArchivosRecibidos\1-Prueba-1.bin
